seq,sex,year,総数,X0歳,X1歳,X2歳,X3歳,X4歳,X0.4歳,X5.9歳,X10.14歳,X15.19歳,X20.24歳,X25.29歳,X30.34歳,X35.39歳,X40.44歳,X45.49歳,X50.54歳,X55.59歳,X60.64歳,X65.69歳,X70.74歳,X75.79歳,X80.84歳,X85.89歳,X90.94歳,X95.99歳,X100歳以上,不詳
190001,1総数,1999,75242,271,160,109,64,69,673,312,310,1768,2973,3152,2809,2704,3091,4936,6226,6868,5862,6126,6101,6095,6101,5174,2638,729,78,516
190001,1総数,2000,73805,266,139,75,88,78,646,272,260,1607,2842,2989,2780,2691,2989,4372,6396,6632,5988,5948,6166,6029,6034,5156,2682,759,116,451
190001,1総数,2001,73131,259,136,104,86,65,650,290,225,1548,2569,2956,2812,2703,2955,3974,6579,6063,5747,5936,6290,6270,5964,5403,2839,850,102,406
190001,1総数,2002,73327,220,138,83,64,50,555,311,230,1395,2396,2736,2952,2731,3053,3906,6600,6318,5910,5839,5992,6548,5991,5332,3101,887,143,401
190001,1総数,2003,75638,206,93,78,60,59,496,254,248,1373,2257,2967,3260,3038,3411,4054,6290,6533,5976,6046,6398,6612,6180,5324,3304,1042,162,413
190001,1総数,2004,73425,194,125,89,57,53,518,246,217,1265,2295,2654,3136,3012,3221,3793,5365,6474,5877,5531,6231,6861,6456,5311,3370,1048,168,376
190001,1総数,2005,75380,209,96,72,59,49,485,262,219,1184,2352,2715,3220,3117,3348,3829,5049,6661,5865,5366,6471,7229,6938,5628,3696,1233,167,346
190001,1総数,2006,73112,185,80,70,60,58,453,209,202,1173,2259,2592,2904,3119,3230,3564,4412,6698,5348,5486,6279,7189,7122,5528,3602,1269,201,273
190001,1総数,2007,73826,169,65,58,49,48,389,185,191,1046,2165,2372,2823,3292,3224,3644,4177,6355,5412,5715,6518,7233,7470,5830,3923,1372,229,261
190001,1総数,2008,73523,192,82,49,39,34,396,167,208,1027,2169,2350,2914,3301,3158,3482,3876,5767,5559,5666,6256,7332,7825,6043,3986,1511,273,257
190001,1総数,2009,73598,147,61,37,40,35,320,171,164,976,2150,2373,2688,3363,3329,3539,4051,5436,5686,5693,5984,7272,7898,6300,3988,1618,281,318
190001,1総数,2010,75965,146,79,40,40,32,337,151,207,934,2015,2266,2641,3249,3277,3565,3939,4911,5990,5881,6157,7702,8573,7223,4440,1859,371,277
190001,1総数,2011,94114,221,114,112,105,80,632,382,384,1222,2239,2582,2864,3734,4036,4094,4664,5649,7697,7065,8447,10165,11050,8837,4987,1970,393,1021
190001,1総数,2012,73469,133,49,29,34,33,278,137,199,903,1795,2126,2181,2774,3100,3224,3513,3794,5375,5250,6183,7878,9074,8139,4885,2002,443,216
190001,1総数,2013,71767,116,44,45,16,22,243,128,180,840,1759,1894,2133,2670,3068,3182,3397,3540,4942,5311,6277,7748,8925,8048,4829,2038,432,183
190001,1総数,2014,69549,111,57,30,27,30,255,123,199,791,1647,1905,2032,2407,2892,3060,3166,3476,4306,5315,6016,7263,8788,8294,5060,1914,478,162
190001,1総数,2015,67905,115,49,29,27,32,252,111,187,793,1497,1630,1878,2160,2808,2868,3119,3218,3915,5109,5967,7137,8988,8264,5319,2060,461,164
190001,1総数,2016,65848,104,46,23,20,12,205,89,159,779,1454,1544,1703,2011,2489,2800,2899,3058,3421,5181,5336,6880,8606,8562,5852,2185,511,124
190001,1総数,2017,68577,112,35,21,22,19,209,75,163,741,1461,1419,1641,1835,2361,2814,2866,2983,3282,5125,5544,7103,9231,9693,6624,2673,599,135
190002,1総数,1999,13521,52,39,37,20,21,169,109,84,623,768,624,461,379,376,633,708,910,1013,1213,1273,1255,1232,1018,505,102,12,54
190002,1総数,2000,13088,44,45,23,26,25,163,88,69,575,729,562,410,351,390,541,762,881,993,1122,1266,1292,1212,1012,484,133,13,40
190002,1総数,2001,12806,47,43,37,20,23,170,105,61,543,638,556,416,368,329,445,783,855,859,1107,1266,1283,1236,1063,562,120,11,30
190002,1総数,2002,12461,39,35,32,22,15,143,108,74,481,587,520,459,340,327,442,724,783,914,1023,1244,1384,1227,981,533,120,16,31
190002,1総数,2003,12117,30,27,26,19,16,118,86,75,455,487,491,399,344,326,416,649,758,837,1077,1264,1278,1218,1031,580,172,23,33
190002,1総数,2004,11832,32,35,39,20,17,143,81,66,395,455,417,428,358,332,363,575,765,865,951,1233,1400,1208,1015,595,135,18,34
